LSOA11CD,LSOA21CD,CHGIND
E01000079,E01000079,U
E01017676,E01017676,U
E01000035,E01000035,U
E01000036,E01000036,U
E01000107,E01000107,U
E01000108,E01000108,U
E01000066,E01000066,U
E01017677,E01017677,U
E01000067,E01000067,U
E01017678,E01017678,U
E01000069,E01000069,U
E01017679,E01017679,U
E01000070,E01000070,U
E01017680,E01017680,U
E01000071,E01000071,U
E01017681,E01017681,U
E01000057,E01000057,U
E01017682,E01017682,U
E01017683,E01017683,U
E01017684,E01017684,U
E01017726,E01017726,U
E01017727,E01017727,U
E01017728,E01033968,S
E01017728,E01033969,S
E01017729,E01017729,U
E01017730,E01017730,U
E01029876,E01029876,U
E01029898,E01029898,U
E01029907,E01029907,U
E01029881,E01029881,U
E01029884,E01029884,U
E01029885,E01029885,U
E01029900,E01029900,U
E01029901,E01029901,U
E01029917,E01029917,U
E01029892,E01029892,U
E01029893,E01034559,S
E01029893,E01034560,S
E01029894,E01029894,U
E01029895,E01029895,U
E01029896,E01029896,U
E01029911,E01029911,U
E01029877,E01029877,U
E01029878,E01029878,U
E01029879,E01029879,U
E01029908,E01029908,U
E01029909,E01029909,U
E01029910,E01029910,U
E01029880,E01029880,U
E01029921,E01029921,U
E01029922,E01029922,U
E01029923,E01029923,U
E01029912,E01029912,U
E01029913,E01029913,U
E01029914,E01029914,U
E01029915,E01029915,U
E01029916,E01029916,U
E01029918,E01029918,U
E01029919,E01029919,U
E01029920,E01029920,U
E01029886,E01029886,U
E01000073,E01000073,U
E01000074,E01000074,U
E01000075,E01000075,U
E01000076,E01000076,U
E01000013,E01000013,U
E01000014,E01000014,U
E01000059,E01000059,U
E01000084,E01000084,U
E01000085,E01000085,U
E01000086,E01000086,U
E01000103,E01000103,U
E01000104,E01000104,U
E01000105,E01000105,U
E01000106,E01000106,U
E01000007,E01000007,U
E01000008,E01000008,U
E01000010,E01034473,S
E01000010,E01034474,S
E01000012,E01000012,U
E01000006,E01000006,U
E01000009,E01000009,U
E01000011,E01000011,U
E01000044,E01000044,U
E01000068,E01000068,U
E01000041,E01000041,U
E01000042,E01000042,U
E01000172,E01000172,U
E01000285,E01000285,U
E01000287,E01000287,U
E01000288,E01000288,U
E01000289,E01000289,U
E01000291,E01000291,U
E01000294,E01000294,U
E01000267,E01000267,U
E01000268,E01000268,U
E01000269,E01000269,U
E01000270,E01000270,U
E01000170,E01000170,U
E01000171,E01000171,U
E01000173,E01000173,U
E01000174,E01000174,U
E01000175,E01000175,U
E01000228,E01000228,U
E01000253,E01000253,U
E01000279,E01000279,U
E01000280,E01000280,U
E01000286,E01000286,U
E01000290,E01000290,U
E01000271,E01000271,U
E01000272,E01000272,U
E01000273,E01000273,U
E01000281,E01000281,U
E01000282,E01000282,U
E01000115,E01000115,U
E01000116,E01000116,U
E01000119,E01000119,U
E01000120,E01000120,U
E01000122,E01000122,U
E01000117,E01000117,U
E01000118,E01000118,U
E01000121,E01000121,U
