LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000805,4.236,4.248
E01000806,4.067,3.673
E01000807,2.285,3.123
E01000808,3.491,3.013
E01000809,3.032,2.789
E01000810,3.194,2.466
E01000811,3.333,2.564
E01000812,4.342,3.858
E01000813,3.975,2.367
E01000814,2.155,2.756
E01000815,2.733,1.854
E01000816,3.849,3.016
E01000818,3.34,2.375
E01000819,6.725,6.486
E01000820,5.409,4.159
E01000822,4.213,3.18
E01000823,2.267,2.597
E01000824,3.98,2.853
E01000825,5.022,3.367
E01000826,1.477,2.017
E01000827,3.546,2.413
E01000828,4.104,3.175
E01000829,2.712,2.319
E01000830,1.742,1.662
E01000831,3.963,3.116
E01000832,3.091,2.928
E01000833,1.778,2.073
E01000834,1.28,1.388
E01000835,3.16,3.017
E01000836,2.114,1.872
E01000837,5.291,3.505
E01000838,4.651,5.451
E01000839,1.747,3.022
E01000840,5.026,5.097
E01000841,2.63,2.709
E01000842,2.493,3.142
E01000843,3.695,2.092
E01000844,3.047,3.062
E01000845,4.508,3.071
E01000846,6.329,5.089
E01000847,5.16,4.878
E01000848,2.834,3.973
E01000849,2.868,3.377
E01000850,3.778,3.86
E01000851,2.56,2.64
E01000852,3.214,4.233
E01000853,10.3,11.174
E01000854,5.237,4.233
E01000855,3.628,3.588
E01000856,7.538,5.657
E01000857,5.667,5.679
E01000858,9.189,6.522
E01000859,3.594,2.802
E01000860,6.733,6.958
E01000861,5.4,6.442
E01000862,2.512,3.029
E01000863,4.186,2.644
E01000864,5.27,4.039
E01000865,3.455,4.039
E01000866,7.635,8.051
E01000867,7.214,5.415
E01000868,8.252,7.216
E01000869,5.261,4.368
E01000870,7.62,6.746
E01000871,3.786,3.681
E01000872,4.206,5.92
E01000873,3.783,2.72
E01000874,2.053,2.64
E01000875,5.502,4.716
E01000876,8.467,5.873
E01000877,3.558,3.155
E01000878,3.14,2.687
E01000879,2.538,1.615
E01000880,1.81,2.052
E01000881,3.51,3.244
E01000882,1.322,0.964
E01000883,2.866,1.923
E01000884,2.178,2.447
E01000885,3.504,2.266
E01000886,4.221,2.782
E01000887,5.182,4.323
E01000888,5.607,5.578
E01000889,11.078,9.435
E01000890,13.049,9.795
E01000891,11.111,9.097
E01000892,5.589,5.201
E01000893,2.746,2.182
E01000894,2.088,2.594
E01000895,5.215,5.087
E01000896,3.014,1.947
E01000897,2.442,1.988
E01000898,5.495,7.192
E01000899,2.46,1.41
E01000900,7.94,6.15
E01000901,7.284,7.458
E01000902,7.857,6.016
E01000903,6.046,4.671
E01000904,7.217,6.728
E01000905,9.98,7.737
E01000906,4.569,2.839
E01000907,8.741,6.945
E01000908,9.424,8.011
E01000909,4.461,4.584
E01000910,2.989,2.91
E01000911,5.26,5.355
E01000912,8.181,7.876
E01000913,3.099,4.055
E01000914,4.54,4.087
E01000915,8.382,6.606
E01000916,6.236,6.082
E01000917,9.428,8.893
E01000918,5.933,7.083
E01000919,4.469,6.319
E01000920,5.036,6.161
E01000921,4.069,3.627
E01000922,4.719,5.521
E01000923,7.564,7.459
E01000924,4.887,3.76
E01000925,7.869,5.552
E01000926,5.081,5.227
E01000927,4.661,5.143
E01000928,6.008,5.779
